ID,Sample Site,Numeric Result,Formatted Result,Result Units,Latitude (Degrees),Longitude (Degrees),Sample Date,Parameter,Site Key
,Bow River Below Bearspaw Dam,2.630000114,2.63,NTU,51.10122,-114.27975,04/05/2006 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,4.329999924,4.33,NTU,51.10122,-114.27975,05/03/2006 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,5.679999828,5.68,NTU,51.10122,-114.27975,05/31/2006 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,4.03000021,4.03,NTU,51.10122,-114.27975,06/28/2006 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.25999999,1.26,NTU,51.10122,-114.27975,07/26/2006 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.519999981,1.52,NTU,51.10122,-114.27975,08/23/2006 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.389999986,1.39,NTU,51.10122,-114.27975,09/20/2006 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.169999957,1.17,NTU,51.10122,-114.27975,10/18/2006 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.360000014,1.36,NTU,51.10122,-114.27975,11/15/2006 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.559999943,1.56,NTU,51.10122,-114.27975,12/13/2006 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.830000043,1.83,NTU,51.10122,-114.27975,01/10/2007 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.929999948,1.93,NTU,51.10122,-114.27975,02/07/2007 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.200000048,2.2,NTU,51.10122,-114.27975,03/07/2007 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.629999995,1.63,NTU,51.10122,-114.27975,04/04/2007,Turbidity,SUR_BR-BD
