ID,Sample Site,Numeric Result,Formatted Result,Result Units,Latitude (Degrees),Longitude (Degrees),Sample Date,Parameter,Site Key
,Bow River Below Bearspaw Dam,1.169999957,1.17,NTU,51.10122,-114.27975,10/18/2006,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.360000014,1.36,NTU,51.10122,-114.27975,11/15/2006,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.559999943,1.56,NTU,51.10122,-114.27975,12/13/2006,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.830000043,1.83,NTU,51.10122,-114.27975,1/10/2007,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.929999948,1.93,NTU,51.10122,-114.27975,2/7/2007,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.200000048,2.2,NTU,51.10122,-114.27975,3/7/2007,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.629999995,1.63,NTU,51.10122,-114.27975,4/4/2007,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.619999886,2.62,NTU,51.10122,-114.27975,5/2/2007,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,3.940000057,3.94,NTU,51.10122,-114.27975,5/30/2007,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,12,12,NTU,51.10122,-114.27975,6/27/2007,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,6.670000076,6.67,NTU,51.10122,-114.27975,7/25/2007,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.600000024,1.6,NTU,51.10122,-114.27975,8/22/2007,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.919999957,1.92,NTU,51.10122,-114.27975,9/19/2007,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.5,1.5,NTU,51.10122,-114.27975,10/17/2007,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.420000076,2.42,NTU,51.10122,-114.27975,11/14/2007,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.940000057,1.94,NTU,51.10122,-114.27975,12/12/2007,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.170000076,2.17,NTU,51.10122,-114.27975,1/9/2008,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.669999957,1.67,NTU,51.10122,-114.27975,2/6/2008,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.099999905,2.1,NTU,51.10122,-114.27975,3/5/2008,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.139999986,1.14,NTU,51.10122,-114.27975,4/2/2008,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,3.099999905,3.1,NTU,51.10122,-114.27975,4/30/2008,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,102,102,NTU,51.10122,-114.27975,5/28/2008,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,9.090000153,9.09,NTU,51.10122,-114.27975,6/25/2008,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,3.430000067,3.43,NTU,51.10122,-114.27975,7/23/2008,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.539999962,2.54,NTU,51.10122,-114.27975,8/20/2008,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.820000052,1.82,NTU,51.10122,-114.27975,9/17/2008,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.600000024,1.6,NTU,51.10122,-114.27975,10/16/2008,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.380000114,2.38,NTU,51.10122,-114.27975,11/12/2008,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.460000038,1.46,NTU,51.10122,-114.27975,12/10/2008,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.850000024,1.85,NTU,51.10122,-114.27975,1/7/2009,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,3.109999895,3.11,NTU,51.10122,-114.27975,2/4/2009,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.029999971,2.03,NTU,51.10122,-114.27975,3/4/2009,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.25999999,2.26,NTU,51.10122,-114.27975,4/1/2009,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.850000024,1.85,NTU,51.10122,-114.27975,4/29/2009,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.839999914,2.84,NTU,51.10122,-114.27975,5/27/2009,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,5.699999809,5.7,NTU,51.10122,-114.27975,6/24/2009,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.089999914,2.09,NTU,51.10122,-114.27975,7/22/2009,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.599999905,2.6,NTU,51.10122,-114.27975,8/19/2009,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.440000057,1.44,NTU,51.10122,-114.27975,9/16/2009,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.059999943,1.06,NTU,51.10122,-114.27975,10/14/2009,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.059999943,2.06,NTU,51.10122,-114.27975,11/9/2009,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.840000033,1.84,NTU,51.10122,-114.27975,12/10/2009,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.210000038,2.21,NTU,51.10122,-114.27975,1/6/2010,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.840000033,1.84,NTU,51.10122,-114.27975,2/3/2010,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.830000043,1.83,NTU,51.10122,-114.27975,3/3/2010,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.309999943,1.31,NTU,51.10122,-114.27975,3/31/2010,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.25999999,2.26,NTU,51.10122,-114.27975,4/28/2010,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.920000076,2.92,NTU,51.10122,-114.27975,5/26/2010,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,6.139999866,6.14,NTU,51.10122,-114.27975,6/23/2010,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.359999895,2.36,NTU,51.10122,-114.27975,7/21/2010,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.970000029,1.97,NTU,51.10122,-114.27975,8/18/2010,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.220000029,1.22,NTU,51.10122,-114.27975,9/15/2010,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.289999962,2.29,NTU,51.10122,-114.27975,10/13/2010,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.039999962,1.04,NTU,51.10122,-114.27975,11/10/2010,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,0.959999979,0.96,NTU,51.10122,-114.27975,12/6/2010,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,0.959999979,0.96,NTU,51.10122,-114.27975,1/19/2011,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,0.699999988,0.7,NTU,51.10122,-114.27975,2/15/2011,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.220000029,1.22,NTU,51.10122,-114.27975,3/22/2011,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.579999924,2.58,NTU,51.10122,-114.27975,4/12/2011,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.309999943,2.31,NTU,51.10122,-114.27975,5/10/2011,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,20.29999924,20.3,NTU,51.10122,-114.27975,6/14/2011,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,8.260000229,8.26,NTU,51.10122,-114.27975,7/12/2011,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,3.450000048,3.45,NTU,51.10122,-114.27975,8/16/2011,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.889999986,1.89,NTU,51.10122,-114.27975,9/15/2011,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.620000005,1.62,NTU,51.10122,-114.27975,10/11/2011,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.590000033,1.59,NTU,51.10122,-114.27975,11/15/2011,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,0.980000019,0.98,NTU,51.10122,-114.27975,12/13/2011,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,0.939999998,0.94,NTU,51.10122,-114.27975,1/10/2012,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.110000014,1.11,NTU,51.10122,-114.27975,2/7/2012,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.610000014,1.61,NTU,51.10122,-114.27975,3/6/2012,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.820000052,1.82,NTU,51.10122,-114.27975,4/3/2012,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,3.539999962,3.54,NTU,51.10122,-114.27975,5/8/2012,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,69.59999847,69.6,NTU,51.10122,-114.27975,6/12/2012,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,10.10000038,10.1,NTU,51.10122,-114.27975,7/10/2012,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.910000086,2.91,NTU,51.10122,-114.27975,8/14/2012,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.879999995,1.88,NTU,51.10122,-114.27975,9/12/2012,Turbidity,SUR_BR-BD
